### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"10"	"ADAMTS14"	"transcript variant 2"	"NM_080722.3"	"NP_542453.2"
"11"	"ADAMTS15"	"ADAM metallopeptidase with thrombospondin type 1 motif, 15"	"NM_139055.2"	"NP_620686.1"
"5"	"ADAMTS16"	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"	"NM_139056.2"	"NP_620687.2"
"15"	"ADAMTS17"	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	"NM_139057.2"	"NP_620688.2"
"16"	"ADAMTS18"	"ADAM metallopeptidase with thrombospondin type 1 motif, 18"	"NM_199355.2"	"NP_955387.1"
"5"	"ADAMTS19"	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"	"NM_133638.3"	"NP_598377.3"
"5"	"ADAMTS2"	"transcript variant 1"	"NM_014244.4"	"NP_055059.2"
"12"	"ADAMTS20"	"ADAM metallopeptidase with thrombospondin type 1 motif, 20"	"NM_025003.3"	"NP_079279.3"
"4"	"ADAMTS3"	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"	"NM_014243.2"	"NP_055058.2"
"1"	"ADAMTS4"	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"	"NM_005099.4"	"NP_005090.3"
"21"	"ADAMTS5"	"ADAM metallopeptidase with thrombospondin type 1 motif, 5"	"NM_007038.3"	"NP_008969.2"
"5"	"ADAMTS6"	"ADAM metallopeptidase with thrombospondin type 1 motif, 6"	"NM_197941.2"	"NP_922932.2"
"15"	"ADAMTS7"	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"	"NM_014272.3"	"NP_055087.2"
"11"	"ADAMTS8"	"ADAM metallopeptidase with thrombospondin type 1 motif, 8"	"NM_007037.4"	"NP_008968.4"
"3"	"ADAMTS9"	"ADAM metallopeptidase with thrombospondin type 1 motif, 9"	"NM_182920.1"	"NP_891550.1"
"9"	"ADAMTSL1"	"transcript variant 4"	"NM_001040272.5"	"NP_001035362.3"
"9"	"ADAMTSL2"	"transcript variant 1"	"NM_014694.3"	"NP_055509.2"
"15"	"ADAMTSL3"	"ADAMTS-like 3"	"NM_207517.2"	"NP_997400.2"
"1"	"ADAMTSL4"	"transcript variant 1"	"NM_019032.4"	"NP_061905.2"
"19"	"ADAMTSL5"	"ADAMTS-like 5"	"NM_213604.2"	"NP_998769.2"
"7"	"ADAP1"	"ArfGAP with dual PH domains 1"	"NM_006869.2"	"NP_006860.1"
"17"	"ADAP2"	"ArfGAP with dual PH domains 2"	"NM_018404.2"	"NP_060874.1"
"1"	"ADAR"	"transcript variant 1"	"NM_001111.4"	"NP_001102.2"
"21"	"ADARB1"	"transcript variant 4"	"NR_027673.1"	""
"10"	"ADARB2"	"adenosine deaminase, RNA-specific, B2"	"NM_018702.3"	"NP_061172.1"
"10"	"ADARB2-AS1"	"ADARB2 antisense RNA 1"	"NR_033387.1"	""
"16"	"ADAT1"	"transcript variant 1"	"NM_012091.3"	"NP_036223.2"
"6"	"ADAT2"	"adenosine deaminase, tRNA-specific 2"	"NM_182503.2"	"NP_872309.2"
"19"	"ADAT3"	"adenosine deaminase, tRNA-specific 3"	"NM_138422.2"	"NP_612431.2"
"1"	"ADC"	"arginine decarboxylase"	"NM_052998.2"	"NP_443724.1"
"14"	"ADCK1"	"transcript variant 1"	"NM_020421.3"	"NP_065154.2"
"7"	"ADCK2"	"aarF domain containing kinase 2"	"NM_052853.3"	"NP_443085.2"
"1"	"ADCK3"	"aarF domain containing kinase 3"	"NM_020247.4"	"NP_064632.2"
"19"	"ADCK4"	"transcript variant 1"	"NM_024876.3"	"NP_079152.3"
"8"	"ADCK5"	"aarF domain containing kinase 5"	"NM_174922.3"	"NP_777582.3"
"7"	"ADCY1"	"adenylate cyclase 1 (brain)"	"NM_021116.2"	"NP_066939.1"
"1"	"ADCY10"	"transcript variant 1"	"NM_018417.4"	"NP_060887.2"
"6"	"ADCY10P1"	"adenylate cyclase 10 (soluble) pseudogene 1"	"NR_026938.2"	""
"5"	"ADCY2"	"adenylate cyclase 2 (brain)"	"NM_020546.2"	"NP_065433.2"
"2"	"ADCY3"	"adenylate cyclase 3"	"NM_004036.3"	"NP_004027.2"
"14"	"ADCY4"	"transcript variant 3"	"NM_001198568.1"	"NP_001185497.1"
"3"	"ADCY5"	"transcript variant 2"	"NM_001199642.1"	"NP_001186571.1"
"12"	"ADCY6"	"transcript variant 2"	"NM_020983.2"	"NP_066193.1"
"16"	"ADCY7"	"adenylate cyclase 7"	"NM_001114.3"	"NP_001105.1"
"8"	"ADCY8"	"adenylate cyclase 8 (brain)"	"NM_001115.2"	"NP_001106.1"
"16"	"ADCY9"	"adenylate cyclase 9"	"NM_001116.3"	"NP_001107.2"
"18"	"ADCYAP1"	"transcript variant 2"	"NM_001117.3"	"NP_001108.2"
"7"	"ADCYAP1R1"	"transcript variant 3"	"NM_001118.4"	"NP_001109.2"
"4"	"ADD1"	"transcript variant 2"	"NM_014189.3"	"NP_054908.2"
"2"	"ADD2"	"transcript variant 1"	"NM_001617.3"	"NP_001608.1"
"10"	"ADD3"	"transcript variant 2"	"NM_019903.3"	"NP_063968.1"
"6"	"ADGB"	"androglobin"	"NM_024694.3"	"NP_078970.3"
"4"	"ADH1A"	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	"NM_000667.3"	"NP_000658.1"
"4"	"ADH1B"	"alcohol dehydrogenase 1B (class I), beta polypeptide"	"NM_000668.4"	"NP_000659.2"
"4"	"ADH1C"	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	"NM_000669.3"	"NP_000660.1"
"4"	"ADH4"	"alcohol dehydrogenase 4 (class II), pi polypeptide"	"NM_000670.3"	"NP_000661.2"
"4"	"ADH5"	"alcohol dehydrogenase 5 (class III), chi polypeptide"	"NM_000671.3"	"NP_000662.3"
"4"	"ADH6"	"transcript variant 2"	"NM_000672.3"	"NP_000663.1"
"4"	"ADH7"	"transcript variant 2"	"NM_000673.4"	"NP_000664.2"
"8"	"ADHFE1"	"alcohol dehydrogenase, iron containing, 1"	"NM_144650.2"	"NP_653251.2"
"2"	"ADI1"	"acireductone dioxygenase 1"	"NM_018269.3"	"NP_060739.2"
"20"	"ADIG"	"adipogenin"	"NM_001018082.1"	"NP_001018092.1"
"3"	"ADIPOQ"	"transcript variant 2"	"NM_004797.3"	"NP_004788.1"
"3"	"ADIPOQ-AS1"	"ADIPOQ antisense RNA 1"	"NR_046662.1"	""
"1"	"ADIPOR1"	"transcript variant 1"	"NM_015999.3"	"NP_057083.2"
"12"	"ADIPOR2"	"adiponectin receptor 2"	"NM_024551.2"	"NP_078827.2"
"10"	"ADK"	"transcript variant 1"	"NM_001123.3"	"NP_001114.2"
"11"	"ADM"	"adrenomedullin"	"NM_001124.1"	"NP_001115.1"
"22"	"ADM2"	"transcript variant 1"	"NM_024866.5"	"NP_079142.2"
"20"	"ADNP"	"transcript variant 2"	"NM_181442.1"	"NP_852107.1"
"18"	"ADNP2"	"ADNP homeobox 2"	"NM_014913.3"	"NP_055728.1"
"10"	"ADO"	"2-aminoethanethiol (cysteamine) dioxygenase"	"NM_032804.5"	"NP_116193.2"
"1"	"ADORA1"	"transcript variant 1"	"NM_000674.2"	"NP_000665.1"
"22"	"ADORA2A"	"adenosine A2a receptor"	"NM_000675.4"	"NP_000666.2"
"22"	"ADORA2A-AS1"	"transcript variant 2"	"NR_028483.1"	""
"17"	"ADORA2B"	"adenosine A2b receptor"	"NM_000676.2"	"NP_000667.1"
"1"	"ADORA3"	"transcript variant 2"	"NM_000677.3"	"NP_000668.1"
"15"	"ADPGK"	"transcript variant 1"	"NM_031284.4"	"NP_112574.3"
"15"	"ADPGK-AS1"	"ADPGK antisense RNA 1"	"NR_040107.1"	""
"3"	"ADPRH"	"ADP-ribosylarginine hydrolase"	"NM_001125.2"	"NP_001116.1"
"13"	"ADPRHL1"	"transcript variant 1"	"NM_138430.3"	"NP_612439.2"
"1"	"ADPRHL2"	"ADP-ribosylhydrolase like 2"	"NM_017825.2"	"NP_060295.1"
"8"	"ADRA1A"	"adrenergic, alpha-1A-, receptor, transcript variant 2"	"NM_033303.3"	"NP_150646.3"
"5"	"ADRA1B"	"adrenergic, alpha-1B-, receptor"	"NM_000679.3"	"NP_000670.1"
"20"	"ADRA1D"	"adrenergic, alpha-1D-, receptor"	"NM_000678.3"	"NP_000669.1"
"10"	"ADRA2A"	"adrenergic, alpha-2A-, receptor"	"NM_000681.3"	"NP_000672.3"
"2"	"ADRA2B"	"adrenoceptor alpha 2B"	"NM_000682.5"	"NP_000673.2"
"4"	"ADRA2C"	"adrenergic, alpha-2C-, receptor"	"NM_000683.3"	"NP_000674.2"
"10"	"ADRB1"	"adrenergic, beta-1-, receptor"	"NM_000684.2"	"NP_000675.1"
"5"	"ADRB2"	"adrenergic, beta-2-, receptor, surface"	"NM_000024.5"	"NP_000015.1"
"8"	"ADRB3"	"adrenergic, beta-3-, receptor"	"NM_000025.2"	"NP_000016.1"
"11"	"ADRBK1"	"adrenergic, beta, receptor kinase 1"	"NM_001619.3"	"NP_001610.2"
"22"	"ADRBK2"	"adrenergic, beta, receptor kinase 2"	"NM_005160.3"	"NP_005151.2"
"20"	"ADRM1"	"transcript variant 1"	"NM_007002.2"	"NP_008933.2"
"22"	"ADSL"	"transcript variant 1"	"NM_000026.2"	"NP_000017.1"
"1"	"ADSS"	"adenylosuccinate synthase"	"NM_001126.3"	"NP_001117.2"
"14"	"ADSSL1"	"transcript variant 2"	"NM_152328.3"	"NP_689541.1"
"7"	"AEBP1"	"AE binding protein 1"	"NM_001129.3"	"NP_001120.3"
"12"	"AEBP2"	"transcript variant 1"	"NM_153207.4"	"NP_694939.2"
"15"	"AEN"	"apoptosis enhancing nuclease"	"NM_022767.3"	"NP_073604.3"
"19"	"AES"	"transcript variant 1"	"NM_198969.1"	"NP_945320.1"
"4"	"AFAP1"	"transcript variant a"	"NM_001134647.1"	"NP_001128119.1"
"4"	"AFAP1-AS1"	"AFAP1 antisense RNA 1 (non-protein coding)"	"NR_026892.1"	""
"5"	"AFAP1L1"	"transcript variant 1"	"NM_152406.2"	"NP_689619.1"
"10"	"AFAP1L2"	"transcript variant 2"	"NM_032550.2"	"NP_115939.1"
"4"	"AFF1"	"transcript variant 2"	"NM_005935.2"	"NP_005926.1"
"X"	"AFF2"	"AF4/FMR2 family, member 2, transcript variant 1 (expired, new version available)"	"NM_002025.2"	"NP_002016.2"
"2"	"AFF3"	"transcript variant 1"	"NM_002285.2"	"NP_002276.2"
"5"	"AFF4"	"AF4/FMR2 family, member 4"	"NM_014423.3"	"NP_055238.1"
"16"	"AFG3L1P"	"AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene, transcript variant 1"	"NR_003226.1"	""
"18"	"AFG3L2"	"AFG3 ATPase family gene 3-like 2 (S. cerevisiae)"	"NM_006796.2"	"NP_006787.2"
"4"	"AFM"	"afamin"	"NM_001133.2"	"NP_001124.1"
"17"	"AFMID"	"transcript variant 2"	"NM_001010982.4"	"NP_001010982.2"
"4"	"AFP"	"alpha-fetoprotein"	"NM_001134.1"	"NP_001125.1"
"2"	"AFTPH"	"transcript variant 2"	"NM_017657.4"	"NP_060127.3"
"4"	"AGA"	"aspartylglucosaminidase, transcript variant 1"	"NM_000027.3"	"NP_000018.2"
"4"	"AGA"	"transcript variant 2"	"NM_001171988.1"	"NP_001165459.1"
"4"	"AGA"	"transcript variant 3"	"NR_033655.1"	""
"2"	"AGAP1"	"transcript variant 2"	"NM_014914.4"	"NP_055729.2"
"2"	"AGAP1-IT1"	"AGAP1 intronic transcript 1 (non-protein coding)"	"XR_108380.1"	""
"10"	"AGAP10"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 10"	"XM_001714786.4"	"XP_001714838.2"
"10"	"AGAP11"	"ankyrin repeat and GTPase domain Arf GTPase activating protein 11"	"NM_133447.1"	"NP_597704.1"
"12"	"AGAP2"	"transcript variant 2"	"NM_014770.3"	"NP_055585.1"
"7"	"AGAP3"	"transcript variant 1"	"NM_031946.4"	"NP_114152.3"
"10"	"AGAP4"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"	"NM_133446.2"	"NP_597703.2"
"10"	"AGAP5"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"	"NM_001144000.1"	"NP_001137472.1"
"10"	"AGAP6"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"	"NM_001077665.2"	"NP_001071133.2"
"10"	"AGAP7"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7"	"NM_001077685.1"	"NP_001071153.1"
"10"	"AGAP8"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 8"	"NM_001077686.1"	"NP_001071154.1"
"10"	"AGAP9"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9"	"NM_001190810.1"	"NP_001177739.1"
"15"	"AGBL1"	"ATP/GTP binding protein-like 1"	"NM_152336.2"	"NP_689549.2"
"11"	"AGBL2"	"ATP/GTP binding protein-like 2"	"NM_024783.3"	"NP_079059.2"
"7"	"AGBL3"	"ATP/GTP binding protein-like 3"	"NM_178563.3"	"NP_848658.3"
"1"	"AGBL4"	"ATP/GTP binding protein-like 4"	"NM_032785.3"	"NP_116174.3"
"2"	"AGBL5"	"transcript variant 1"	"NM_021831.5"	"NP_068603.4"
"6"	"AGER"	"transcript variant 1"	"NM_001136.4"	"NP_001127.1"
"2"	"AGFG1"	"transcript variant 2"	"NM_004504.4"	"NP_004495.2"
"7"	"AGFG2"	"ArfGAP with FG repeats 2"	"NM_006076.4"	"NP_006067.3"
"5"	"AGGF1"	"angiogenic factor with G patch and FHA domains 1"	"NM_018046.4"	"NP_060516.2"
"7"	"AGK"	"acylglycerol kinase"	"NM_018238.3"	"NP_060708.1"
"1"	"AGL"	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase, transcript variant 1"	"NM_000028.2"	"NP_000633.2"
"1"	"AGMAT"	"agmatine ureohydrolase (agmatinase)"	"NM_024758.4"	"NP_079034.3"
"7"	"AGMO"	"alkylglycerol monooxygenase"	"NM_001004320.1"	"NP_001004320.1"
"6"	"AGPAT1"	"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha), transcript variant 1"	"NM_006411.3"	"NP_006402.1"
"9"	"AGPAT2"	"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta), transcript variant 1"	"NM_006412.3"	"NP_006403.2"
"21"	"AGPAT3"	"transcript variant 1"	"NM_020132.4"	"NP_064517.1"
"6"	"AGPAT4"	"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)"	"NM_020133.2"	"NP_064518.1"
"6"	"AGPAT4-IT1"	"AGPAT4 intronic transcript 1 (non-protein coding)"	"NR_024277.1"	""
"8"	"AGPAT5"	"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"	"NM_018361.3"	"NP_060831.2"
"8"	"AGPAT6"	"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)"	"NM_178819.3"	"NP_848934.1"
"4"	"AGPAT9"	"transcript variant 1"	"NM_032717.4"	"NP_116106.2"
"15"	"AGPHD1"	"transcript variant 1"	"NM_001013619.2"	"NP_001013641.2"
"2"	"AGPS"	"alkylglycerone phosphate synthase"	"NM_003659.3"	"NP_003650.1"
"7"	"AGR2"	"anterior gradient homolog 2 (Xenopus laevis)"	"NM_006408.3"	"NP_006399.1"
"7"	"AGR3"	"anterior gradient homolog 3 (Xenopus laevis)"	"NM_176813.3"	"NP_789783.1"
"1"	"AGRN"	"agrin"	"NM_198576.3"	"NP_940978.2"
"16"	"AGRP"	"agouti related protein homolog (mouse)"	"NM_001138.1"	"NP_001129.1"
"1"	"AGT"	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	"NM_000029.3"	"NP_000020.1"
"9"	"AGTPBP1"	"ATP/GTP binding protein 1"	"NM_015239.2"	"NP_056054.2"
"3"	"AGTR1"	"transcript variant 4"	"NM_031850.2"	"NP_114038.1"
"X"	"AGTR2"	"angiotensin II receptor, type 2"	"NM_000686.4"	"NP_000677.2"
"1"	"AGTRAP"	"transcript variant 1"	"NM_020350.4"	"NP_065083.3"
"2"	"AGXT"	"alanine-glyoxylate aminotransferase"	"NM_000030.2"	"NP_000021.1"
"5"	"AGXT2"	"alanine--glyoxylate aminotransferase 2"	"NM_031900.3"	"NP_114106.1"
"4"	"AGXT2L1"	"transcript variant 1"	"NM_031279.3"	"NP_112569.2"
"5"	"AGXT2L2"	"alanine-glyoxylate aminotransferase 2-like 2"	"NM_153373.2"	"NP_699204.1"
"1"	"AHCTF1"	"AT hook containing transcription factor 1"	"NM_015446.4"	"NP_056261.4"
"20"	"AHCY"	"transcript variant 1"	"NM_000687.2"	"NP_000678.1"
"1"	"AHCYL1"	"transcript variant 2"	"NM_001242673.1"	"NP_001229602.1"
"7"	"AHCYL2"	"transcript variant 2"	"NM_001130720.2"	"NP_001124192.1"
"1"	"AHDC1"	"AT hook, DNA binding motif, containing 1"	"NM_001029882.2"	"NP_001025053.1"
"6"	"AHI1"	"transcript variant 1"	"NM_001134831.1"	"NP_001128303.1"
"11"	"AHNAK"	"transcript variant 2"	"NM_024060.2"	"NP_076965.2"
"14"	"AHNAK2"	"AHNAK nucleoprotein 2"	"NM_138420.2"	"NP_612429.2"
"7"	"AHR"	"aryl hydrocarbon receptor"	"NM_001621.4"	"NP_001612.1"
"5"	"AHRR"	"transcript variant 1"	"NM_020731.4"	"NP_065782.2"
"14"	"AHSA1"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)"	"NM_012111.2"	"NP_036243.1"
"2"	"AHSA2"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"	"NM_152392.3"	"NP_689605.1"
"3"	"AHSG"	"alpha-2-HS-glycoprotein"	"NM_001622.2"	"NP_001613.2"
"16"	"AHSP"	"alpha hemoglobin stabilizing protein"	"NM_016633.2"	"NP_057717.1"
"12"	"AICDA"	"activation-induced cytidine deaminase"	"NM_020661.2"	"NP_065712.1"
"1"	"AIDA"	"axin interactor, dorsalization associated"	"NM_022831.2"	"NP_073742.2"
"6"	"AIF1"	"transcript variant 3"	"NM_001623.3"	"NP_001614.3"
"9"	"AIF1L"	"transcript variant 1"	"NM_031426.3"	"NP_113614.1"
"X"	"AIFM1"	"transcript variant 1"	"NM_004208.3"	"NP_004199.1"
"10"	"AIFM2"	"transcript variant 2"	"NM_032797.5"	"NP_116186.1"
"22"	"AIFM3"	"transcript variant 1"	"NM_144704.2"	"NP_653305.1"
"6"	"AIG1"	"androgen-induced 1"	"NM_016108.2"	"NP_057192.2"
"6"	"AIM1"	"absent in melanoma 1"	"NM_001624.2"	"NP_001615.1"
"1"	"AIM1L"	"absent in melanoma 1-like"	"NM_001039775.3"	"NP_001034864.2"
"1"	"AIM2"	"absent in melanoma 2"	"NM_004833.1"	"NP_004824.1"
"4"	"AIMP1"	"transcript variant 2"	"NM_001142415.1"	"NP_001135887.1"
"7"	"AIMP2"	"aminoacyl tRNA synthetase complex-interacting multifunctional protein 2"	"NM_006303.3"	"NP_006294.2"
"11"	"AIP"	"aryl hydrocarbon receptor interacting protein"	"NM_003977.2"	"NP_003968.2"
"17"	"AIPL1"	"transcript variant 1"	"NM_014336.3"	"NP_055151.3"
"21"	"AIRE"	"autoimmune regulator"	"NM_000383.3"	"NP_000374.1"
"6"	"AIRN"	"transcript variant 1"	"NR_047511.1"	""
"1"	"AJAP1"	"transcript variant 1"	"NM_018836.3"	"NP_061324.1"
"14"	"AJUBA"	"transcript variant 1"	"NM_032876.4"	"NP_116265.1"
"9"	"AK1"	"adenylate kinase 1"	"NM_000476.2"	"NP_000467.1"
"1"	"AK2"	"transcript variant 1"	"NM_001625.3"	"NP_001616.1"
"9"	"AK3"	"transcript variant 1"	"NM_016282.3"	"NP_057366.2"
"1"	"AK4"	"transcript variant 6"	"NM_013410.3"	"NP_037542.1"
"1"	"AK5"	"transcript variant 1"	"NM_174858.2"	"NP_777283.1"
"14"	"AK7"	"adenylate kinase 7"	"NM_152327.3"	"NP_689540.2"
"9"	"AK8"	"adenylate kinase 8"	"NM_152572.2"	"NP_689785.1"
"17"	"AKAP1"	"transcript variant 2"	"NM_001242902.1"	"NP_001229831.1"
"17"	"AKAP10"	"A kinase (PRKA) anchor protein 10"	"NM_007202.3"	"NP_009133.2"
"13"	"AKAP11"	"A kinase (PRKA) anchor protein 11"	"NM_016248.3"	"NP_057332.1"
"6"	"AKAP12"	"transcript variant 1"	"NM_005100.3"	"NP_005091.2"
"15"	"AKAP13"	"transcript variant 2"	"NM_007200.4"	"NP_009131.2"
"X"	"AKAP14"	"transcript variant 1"	"NM_178813.5"	"NP_848928.1"
"X"	"AKAP17A"	"transcript variant 1"	"NM_005088.2"	"NP_005079.2"
"9"	"AKAP2"	"transcript variant 1"	"NM_001004065.4"	"NP_001004065.2"
"12"	"AKAP3"	"A kinase (PRKA) anchor protein 3"	"NM_006422.2"	"NP_006413.2"
"X"	"AKAP4"	"transcript variant 1"	"NM_003886.2"	"NP_003877.2"
"14"	"AKAP5"	"A kinase (PRKA) anchor protein 5"	"NM_004857.3"	"NP_004848.3"
"14"	"AKAP6"	"A kinase (PRKA) anchor protein 6"	"NM_004274.4"	"NP_004265.3"
"6"	"AKAP7"	"transcript variant alpha"	"NM_004842.3"	"NP_004833.1"
"19"	"AKAP8"	"A kinase (PRKA) anchor protein 8"	"NM_005858.3"	"NP_005849.1"
"19"	"AKAP8L"	"A kinase (PRKA) anchor protein 8-like"	"NM_014371.2"	"NP_055186.2"
"7"	"AKAP9"	"transcript variant 2"	"NM_005751.4"	"NP_005742.4"
"6"	"AKD1"	"transcript variant 1"	"NM_001145128.2"	"NP_001138600.2"
"11"	"AKIP1"	"transcript variant 2"	"NM_020642.3"	"NP_065693.2"
"1"	"AKIRIN1"	"transcript variant 1"	"NM_024595.2"	"NP_078871.1"
"6"	"AKIRIN2"	"akirin 2"	"NM_018064.3"	"NP_060534.1"
"9"	"AKNA"	"AT-hook transcription factor"	"NM_030767.4"	"NP_110394.3"
"1"	"AKNAD1"	"transcript variant 1"	"NM_152763.4"	"NP_689976.2"
"1"	"AKR1A1"	"transcript variant 1"	"NM_006066.3"	"NP_006057.1"
"7"	"AKR1B1"	"aldo-keto reductase family 1, member B1 (aldose reductase)"	"NM_001628.2"	"NP_001619.1"
"7"	"AKR1B10"	"aldo-keto reductase family 1, member B10 (aldose reductase)"	"NM_020299.4"	"NP_064695.3"
"7"	"AKR1B15"	"aldo-keto reductase family 1, member B15"	"NM_001080538.2"	"NP_001074007.2"
"10"	"AKR1C1"	"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"	"NM_001353.5"	"NP_001344.2"
"10"	"AKR1C2"	"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III), transcript variant 1"	"NM_001354.5"	"NP_001345.1"
"10"	"AKR1C3"	"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II), transcript variant 1"	"NM_003739.5"	"NP_003730.4"
"10"	"AKR1C4"	"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)"	"NM_001818.3"	"NP_001809.3"
"10"	"AKR1CL1"	"aldo-keto reductase family 1, member C-like 1"	"NR_027916.1"	""
"7"	"AKR1D1"	"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase), transcript variant 1"	"NM_005989.3"	"NP_005980.1"
"10"	"AKR1E2"	"transcript variant 1"	"NM_001040177.2"	"NP_001035267.1"
"1"	"AKR7A2"	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"	"NM_003689.3"	"NP_003680.2"
"1"	"AKR7A2P1"	"aldo-keto reductase family 7, member A2 pseudogene 1"	"NR_002796.2"	""
"1"	"AKR7A3"	"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)"	"NM_012067.2"	"NP_036199.2"
"1"	"AKR7L"	"transcript variant 2"	"NR_040289.1"	""
"14"	"AKT1"	"transcript variant 1"	"NM_005163.2"	"NP_005154.2"
"19"	"AKT1S1"	"transcript variant 1"	"NM_032375.4"	"NP_115751.3"
"19"	"AKT2"	"transcript variant 1"	"NM_001626.4"	"NP_001617.1"
"1"	"AKT3"	"transcript variant 2"	"NM_181690.2"	"NP_859029.1"
"16"	"AKTIP"	"transcript variant 2"	"NM_022476.2"	"NP_071921.1"
"9"	"ALAD"	"aminolevulinate dehydratase"	"NM_000031.5"	"NP_000022.3"
"3"	"ALAS1"	"transcript variant 1"	"NM_000688.5"	"NP_000679.1"
"X"	"ALAS2"	"transcript variant 1"	"NM_000032.4"	"NP_000023.2"
"4"	"ALB"	"albumin"	"NM_000477.5"	"NP_000468.1"
"3"	"ALCAM"	"transcript variant 1"	"NM_001627.3"	"NP_001618.2"
"19"	"ALDH16A1"	"transcript variant 1"	"NM_153329.3"	"NP_699160.2"
"10"	"ALDH18A1"	"transcript variant 1"	"NM_002860.3"	"NP_002851.2"
"9"	"ALDH1A1"	"aldehyde dehydrogenase 1 family, member A1"	"NM_000689.4"	"NP_000680.2"
"15"	"ALDH1A2"	"transcript variant 4"	"NM_001206897.1"	"NP_001193826.1"
"15"	"ALDH1A3"	"aldehyde dehydrogenase 1 family, member A3"	"NM_000693.2"	"NP_000684.2"
"9"	"ALDH1B1"	"aldehyde dehydrogenase 1 family, member B1"	"NM_000692.4"	"NP_000683.3"
"3"	"ALDH1L1"	"transcript variant 2"	"NM_012190.3"	"NP_036322.2"
"3"	"ALDH1L1-AS1"	"ALDH1L1 antisense RNA 1"	"NR_046602.1"	""
"3"	"ALDH1L1-AS2"	"ALDH1L1 antisense RNA 2"	"NR_046383.1"	""
"12"	"ALDH1L2"	"transcript variant 1"	"NM_001034173.3"	"NP_001029345.2"
"12"	"ALDH2"	"transcript variant 1"	"NM_000690.3"	"NP_000681.2"
"17"	"ALDH3A1"	"transcript variant 2"	"NM_000691.4"	"NP_000682.3"
"17"	"ALDH3A2"	"transcript variant 2"	"NM_000382.2"	"NP_000373.1"
"11"	"ALDH3B1"	"transcript variant 1"	"NM_000694.2"	"NP_000685.1"
"11"	"ALDH3B2"	"transcript variant 1"	"NM_000695.3"	"NP_000686.2"
"1"	"ALDH4A1"	"transcript variant 3"	"NM_001161504.1"	"NP_001154976.1"
"6"	"ALDH5A1"	"aldehyde dehydrogenase 5 family, member A1, transcript variant 1"	"NM_001080.3"	"NP_733936.1"
"14"	"ALDH6A1"	"aldehyde dehydrogenase 6 family, member A1"	"NM_005589.2"	"NP_005580.1"
"5"	"ALDH7A1"	"transcript variant 1"	"NM_001182.4"	"NP_001173.2"
"6"	"ALDH8A1"	"transcript variant 3"	"NM_001193480.1"	"NP_001180409.1"
"1"	"ALDH9A1"	"aldehyde dehydrogenase 9 family, member A1"	"NM_000696.3"	"NP_000687.3"
"16"	"ALDOA"	"transcript variant 1"	"NM_000034.3"	"NP_000025.1"
"9"	"ALDOB"	"aldolase B, fructose-bisphosphate"	"NM_000035.3"	"NP_000026.2"
"17"	"ALDOC"	"aldolase C, fructose-bisphosphate"	"NM_005165.2"	"NP_005156.1"
